Infrastructure_Type,Defect_Location,Defect_Length_mm,Defect_Width_mm,Defect_Depth_mm,Severity_Level,Lighting_Condition,Occlusion_Level,Inspection_Mode,Target_Defect_Class
Tunnel,Surface,411.2,16.8,11.35,High,Low,Partial,Fixed Camera,Spalling
Tunnel,Surface,205.26,3.1,88.22,High,High,Partial,Ground,Crack
Road,Wall,244.75,22.79,53.22,High,Low,Severe,Fixed Camera,Corrosion
Tunnel,Beam,11.62,13.11,82.66,High,Low,Partial,Fixed Camera,Spalling
Building,Column,207.82,17.92,85.8,Medium,Low,None,Ground,Deformation
Bridge,Beam,325.65,35.43,92.84,Medium,Normal,None,Fixed Camera,Healthy
Building,Column,12.68,26.32,95.03,Medium,High,Severe,Fixed Camera,Corrosion
Bridge,Column,144.04,6.67,55.93,Medium,Normal,Severe,Fixed Camera,Crack
Bridge,Beam,107.94,48.09,34.76,High,Low,Partial,Ground,Crack
Building,Surface,25.78,31.98,96.22,High,Normal,Partial,UAV,Deformation
Building,Column,242.23,38.41,55.19,Medium,High,None,Fixed Camera,Deformation
Building,Beam,94.95,4.42,7.36,Medium,High,Severe,Ground,Corrosion
Building,Column,372.83,2.83,64.63,Medium,Normal,Partial,Fixed Camera,Corrosion
Road,Deck,424.72,1.46,59.18,Medium,Low,Partial,Ground,Healthy
Tunnel,Surface,275.06,9.85,89.68,Medium,Normal,None,Fixed Camera,Healthy
Bridge,Wall,490.95,21.01,65.67,Low,Low,None,Ground,Crack
Building,Column,227.99,46.82,35.56,Medium,High,None,UAV,Deformation
Building,Deck,259.12,23.12,96.66,Low,Normal,None,UAV,Spalling
Building,Wall,494.66,14.87,80.36,Low,High,Partial,UAV,Crack
Road,Wall,119.62,28.32,63.41,High,Low,Severe,Fixed Camera,Corrosion
Building,Column,471.56,6.04,30.0,Low,Low,Severe,Ground,Crack
Building,Beam,26.2,30.67,37.98,Low,Normal,None,Fixed Camera,Corrosion
Building,Column,225.96,28.64,67.33,Low,Normal,None,Fixed Camera,Spalling
Tunnel,Deck,39.65,39.7,8.13,Low,Normal,Partial,Ground,Corrosion
Road,Wall,365.97,49.34,26.41,High,High,None,Fixed Camera,Corrosion
Building,Column,306.16,12.92,71.68,Medium,Low,Severe,Ground,Spalling
Bridge,Beam,354.78,25.73,48.52,High,Low,None,Ground,Crack
Bridge,Column,190.37,45.49,40.84,Low,High,Severe,UAV,Deformation
Bridge,Surface,187.89,39.37,15.99,Low,Normal,None,UAV,Corrosion
Road,Beam,27.43,24.63,44.74,Low,Normal,None,UAV,Corrosion
Road,Deck,178.22,47.3,77.3,Medium,High,Severe,Ground,Healthy
Bridge,Wall,465.0,3.33,27.14,Medium,Low,Partial,UAV,Corrosion
Building,Column,192.72,46.58,1.53,High,Low,Partial,Ground,Spalling
Road,Beam,416.53,3.0,67.18,Medium,Low,None,Fixed Camera,Corrosion
Bridge,Surface,421.95,27.59,97.29,Medium,Low,None,UAV,Healthy
Bridge,Beam,189.75,44.58,61.08,High,High,Severe,Ground,Deformation
Building,Surface,317.83,13.5,12.87,High,Low,Severe,Ground,Crack
Tunnel,Deck,52.21,23.88,32.75,Low,High,None,Ground,Deformation
Road,Wall,56.32,16.55,86.9,Low,Normal,Severe,Ground,Crack
Building,Deck,29.09,47.63,24.02,Medium,High,Partial,UAV,Healthy
Bridge,Column,292.6,41.27,61.16,Medium,Low,Partial,UAV,Corrosion
Bridge,Beam,215.91,35.6,40.86,High,Normal,Severe,UAV,Deformation
Building,Surface,276.28,29.59,21.58,Medium,High,Severe,Ground,Corrosion
Road,Surface,262.93,41.12,81.53,Low,High,Severe,Fixed Camera,Spalling
Tunnel,Beam,178.35,19.92,74.54,High,High,Partial,Ground,Healthy
Tunnel,Beam,340.35,22.65,66.5,High,Normal,None,Fixed Camera,Healthy
Bridge,Column,380.46,36.64,24.4,Low,High,Severe,UAV,Crack
Road,Deck,12.24,18.21,10.69,High,Low,Severe,Ground,Spalling
Tunnel,Surface,107.58,3.66,58.04,Low,Normal,Severe,Ground,Corrosion
Road,Column,358.05,4.18,55.81,Low,Normal,None,UAV,Corrosion
Road,Deck,196.38,6.21,19.65,High,High,Severe,Ground,Corrosion
Bridge,Column,332.93,43.55,6.57,Medium,Low,Severe,Fixed Camera,Corrosion
Tunnel,Surface,176.75,23.88,8.99,Low,Normal,Partial,Fixed Camera,Spalling
Building,Beam,198.42,35.79,99.28,Low,High,Severe,Fixed Camera,Crack
Bridge,Beam,83.55,19.95,78.57,Medium,Low,Partial,Ground,Spalling
Tunnel,Deck,132.82,13.31,92.28,Low,High,None,Ground,Crack
Tunnel,Wall,304.68,17.69,20.31,Medium,High,Severe,Fixed Camera,Corrosion
Tunnel,Deck,219.42,39.81,96.1,Medium,Normal,Severe,Ground,Deformation
Tunnel,Wall,388.28,31.45,15.12,Low,Normal,Partial,Fixed Camera,Crack
Tunnel,Column,427.03,46.91,51.4,Medium,High,None,UAV,Corrosion
Road,Column,273.11,34.15,83.14,High,Normal,None,Fixed Camera,Corrosion
Bridge,Surface,380.34,28.72,35.63,Medium,Normal,Partial,UAV,Corrosion
Road,Wall,156.92,30.7,43.06,Low,Low,None,UAV,Spalling
Building,Surface,210.41,47.15,13.69,Low,Low,None,UAV,Corrosion
Tunnel,Beam,357.82,39.52,13.17,Medium,High,None,Fixed Camera,Crack
Bridge,Wall,196.17,1.69,62.34,High,High,None,Fixed Camera,Healthy
Tunnel,Deck,296.31,26.94,67.88,Low,High,None,Ground,Healthy
Bridge,Beam,96.76,34.57,77.96,Low,High,None,Ground,Crack
Road,Beam,301.89,37.56,56.11,Medium,Low,None,UAV,Spalling
Bridge,Deck,431.45,11.05,64.93,Medium,Normal,None,Fixed Camera,Corrosion
Building,Beam,434.98,43.43,2.34,Low,Low,Severe,Ground,Crack
Building,Wall,363.55,47.81,17.05,High,High,Partial,Ground,Corrosion
Bridge,Surface,374.15,12.22,98.51,Low,High,None,Ground,Spalling
Bridge,Beam,281.17,44.19,8.52,Medium,Low,Partial,Fixed Camera,Crack
Bridge,Wall,294.41,5.3,68.2,Medium,Low,None,Ground,Healthy
Bridge,Column,71.16,3.26,18.43,Medium,High,None,UAV,Corrosion
Building,Wall,224.71,6.9,71.96,Low,Normal,Severe,Fixed Camera,Corrosion
Tunnel,Surface,228.13,3.36,70.89,Medium,High,Partial,Ground,Deformation
Bridge,Wall,479.46,42.33,24.19,Low,Low,Partial,Ground,Crack
Bridge,Deck,218.39,3.42,27.69,Low,High,Severe,Fixed Camera,Corrosion
Building,Surface,276.92,13.95,65.82,Medium,High,Severe,Ground,Corrosion
Building,Column,268.96,5.64,39.62,Medium,Normal,Partial,Ground,Corrosion
Road,Deck,320.2,15.12,20.26,Low,High,None,UAV,Corrosion
Bridge,Wall,375.38,4.98,73.44,Low,High,None,Fixed Camera,Crack
Road,Surface,116.4,33.57,16.26,High,High,Partial,Ground,Crack
Building,Column,266.72,7.1,85.71,High,Low,None,Fixed Camera,Crack
Building,Deck,413.83,42.67,51.95,Low,Low,Severe,Fixed Camera,Healthy
Tunnel,Column,234.24,40.95,11.46,Medium,Normal,Severe,UAV,Crack
Bridge,Wall,142.84,1.18,69.71,Medium,High,Severe,UAV,Crack
Road,Column,329.08,44.84,52.4,Medium,Low,Partial,Fixed Camera,Healthy
Building,Beam,412.76,1.93,30.51,High,Normal,Partial,UAV,Spalling
Building,Deck,36.25,12.36,42.83,Low,High,Partial,UAV,Corrosion
Road,Column,389.51,2.1,30.54,High,Normal,None,Ground,Crack
Tunnel,Wall,411.72,17.12,27.04,Medium,Normal,Partial,UAV,Spalling
Building,Wall,233.45,25.94,17.2,Medium,Normal,Partial,UAV,Crack
Bridge,Column,491.74,39.93,36.91,Medium,Normal,Severe,Ground,Spalling
Building,Wall,394.42,17.23,25.85,High,Normal,None,Ground,Healthy
Bridge,Surface,387.96,35.42,68.66,Low,Normal,None,Fixed Camera,Spalling
Road,Surface,375.18,9.78,68.7,Low,Normal,Severe,UAV,Crack
Bridge,Surface,79.55,37.65,50.68,Low,High,None,Ground,Spalling
Road,Beam,112.53,12.18,78.02,High,High,Partial,UAV,Spalling
Bridge,Column,234.68,7.61,84.29,Medium,Normal,None,Fixed Camera,Spalling
Road,Beam,135.68,9.68,58.4,Medium,High,Severe,UAV,Corrosion
Bridge,Wall,210.54,9.51,62.27,Low,Normal,None,UAV,Spalling
Tunnel,Beam,444.79,25.89,29.01,High,High,Severe,UAV,Spalling
Bridge,Wall,413.04,42.32,89.59,High,Low,Partial,Ground,Healthy
Bridge,Wall,316.87,4.44,3.4,Medium,Normal,Partial,Ground,Deformation
Tunnel,Deck,429.77,35.49,35.51,Low,Low,Severe,Fixed Camera,Crack
Building,Surface,392.97,32.89,72.46,Low,Normal,Partial,UAV,Deformation
Building,Wall,217.35,43.69,8.93,Medium,Normal,Partial,Fixed Camera,Crack
Bridge,Deck,104.53,12.59,19.13,Medium,Low,None,Fixed Camera,Deformation
Tunnel,Surface,259.53,22.78,59.34,Low,Low,Partial,Ground,Crack
Bridge,Wall,369.43,46.33,56.44,Medium,Low,Severe,UAV,Corrosion
Road,Wall,221.03,33.17,74.15,Low,Normal,Partial,UAV,Deformation
Road,Beam,335.05,19.74,81.45,High,Low,None,Fixed Camera,Corrosion
Bridge,Beam,51.69,7.0,13.73,Medium,Low,Severe,UAV,Deformation
Building,Surface,375.26,13.49,2.82,Low,High,Partial,Ground,Spalling
Building,Wall,407.29,29.27,69.27,Medium,High,Partial,Fixed Camera,Corrosion
Bridge,Column,354.88,36.05,30.84,Low,Low,Partial,Fixed Camera,Corrosion
Bridge,Beam,483.8,6.66,62.97,Low,Low,Severe,Ground,Healthy
Road,Surface,414.19,30.18,15.9,High,Low,None,Ground,Crack
Building,Wall,452.03,27.74,47.43,Low,Low,Severe,Ground,Deformation
Bridge,Wall,467.12,25.94,50.94,Low,High,Severe,Ground,Deformation
Road,Column,401.67,34.66,58.92,Low,Normal,None,Ground,Healthy
Building,Surface,338.76,41.95,51.8,Low,Low,Severe,Ground,Deformation
Tunnel,Wall,7.83,16.49,50.07,Low,Low,Severe,Fixed Camera,Spalling
Road,Beam,235.58,44.51,33.94,Low,High,Partial,UAV,Healthy
Building,Column,287.73,8.45,8.05,Medium,Low,Severe,UAV,Deformation
Building,Surface,155.49,9.06,9.86,Low,Low,Partial,Fixed Camera,Deformation
Road,Column,162.46,13.71,43.94,Medium,High,Severe,UAV,Crack
Tunnel,Beam,480.77,6.42,36.22,Low,Low,Partial,UAV,Corrosion
Road,Surface,446.4,11.9,52.1,Low,Low,Partial,Fixed Camera,Spalling
Building,Column,425.34,5.77,31.18,Low,High,Partial,UAV,Spalling
Bridge,Deck,205.98,41.18,69.1,High,Normal,None,UAV,Corrosion
Bridge,Beam,11.78,7.38,86.53,Medium,Low,Severe,Fixed Camera,Crack
Road,Beam,44.71,37.49,30.59,High,Low,Severe,UAV,Spalling
Building,Beam,159.54,2.87,20.11,Low,Normal,Severe,Ground,Corrosion
Bridge,Deck,12.79,47.45,12.5,High,High,None,Fixed Camera,Crack
Building,Deck,13.49,35.7,62.01,Low,Normal,Partial,UAV,Corrosion
Road,Wall,458.72,0.84,44.94,Low,Low,Severe,UAV,Deformation
Bridge,Column,354.55,38.31,19.61,Medium,Normal,None,Ground,Corrosion
Building,Wall,157.93,25.95,65.66,Low,High,None,Fixed Camera,Crack
Bridge,Column,70.66,39.08,15.7,High,Low,Severe,Fixed Camera,Crack
Road,Deck,258.26,26.36,55.88,Low,High,Partial,UAV,Corrosion
Building,Deck,7.65,32.23,53.19,High,High,None,Ground,Deformation
Bridge,Wall,469.51,39.42,73.69,Medium,Normal,Severe,Ground,Spalling
Road,Surface,210.33,20.55,6.46,Medium,Normal,Partial,Ground,Crack
Bridge,Wall,204.16,0.63,88.9,Low,High,None,Ground,Corrosion
Bridge,Column,198.34,42.57,70.6,Low,High,None,Ground,Healthy
Tunnel,Wall,39.32,19.35,22.4,High,Low,Severe,Ground,Crack
Tunnel,Beam,320.97,25.05,19.16,Low,High,Severe,Fixed Camera,Spalling
Road,Column,367.84,0.88,43.73,Medium,High,Partial,UAV,Corrosion
Tunnel,Column,339.68,24.86,81.94,High,Normal,Severe,UAV,Crack
Road,Surface,73.53,49.33,84.45,Low,High,Severe,Ground,Crack
Tunnel,Deck,291.53,14.27,52.53,Medium,High,Partial,Fixed Camera,Spalling
Bridge,Column,286.89,20.07,86.22,Medium,Normal,Severe,Fixed Camera,Crack
Road,Deck,434.86,34.52,1.54,Low,Low,Partial,Ground,Crack
Road,Wall,192.67,40.83,4.48,Low,Normal,Partial,UAV,Corrosion
Bridge,Beam,188.89,21.16,91.27,Medium,Normal,Partial,Ground,Crack
Road,Surface,311.17,15.83,77.76,Low,High,Severe,Fixed Camera,Corrosion
Road,Deck,318.37,46.92,45.62,Medium,High,Partial,Ground,Crack
Tunnel,Column,237.3,34.02,75.61,Low,Low,Severe,UAV,Corrosion
Road,Deck,224.31,6.39,95.61,High,High,Partial,UAV,Deformation
Building,Column,249.6,3.91,77.44,Low,Low,Severe,Fixed Camera,Spalling
Bridge,Deck,431.22,24.44,84.39,Medium,Low,Partial,Ground,Corrosion
Tunnel,Column,233.28,11.39,76.3,Medium,Low,None,Ground,Crack
Tunnel,Wall,470.27,13.07,17.65,Low,Low,None,Fixed Camera,Spalling
Building,Column,254.48,43.95,83.52,Low,High,None,Ground,Crack
Bridge,Column,474.85,4.93,20.32,High,Normal,Partial,Fixed Camera,Crack
Bridge,Beam,417.25,35.91,89.37,High,Normal,Severe,Ground,Spalling
Tunnel,Column,184.4,13.92,46.41,Low,High,Partial,UAV,Healthy
Road,Beam,432.5,38.14,68.02,Medium,High,Partial,Fixed Camera,Corrosion
Tunnel,Surface,59.48,36.26,50.23,Low,Low,Partial,Ground,Crack
Bridge,Beam,462.9,0.87,10.31,Low,High,Partial,Ground,Healthy
Building,Wall,317.66,25.7,29.78,Medium,Normal,Severe,Ground,Crack
Tunnel,Beam,31.92,7.4,98.39,High,High,Partial,Fixed Camera,Healthy
Bridge,Surface,323.91,43.38,96.11,Low,High,None,UAV,Corrosion
Tunnel,Wall,487.25,43.64,32.73,High,Low,None,Ground,Corrosion
Road,Deck,39.55,21.21,99.63,Low,Low,None,Fixed Camera,Spalling
Tunnel,Deck,279.57,22.5,84.71,Medium,Low,Partial,Ground,Healthy
Tunnel,Beam,375.16,15.51,61.48,Medium,Low,Severe,UAV,Healthy
Bridge,Beam,406.08,35.97,4.97,Medium,Normal,Severe,UAV,Corrosion
Bridge,Surface,209.84,18.25,90.24,Medium,High,Severe,UAV,Deformation
Bridge,Surface,106.06,13.76,56.19,Low,High,Partial,Fixed Camera,Spalling
Tunnel,Column,25.96,21.9,86.98,Medium,Low,Severe,Ground,Deformation
Road,Surface,291.96,5.03,83.61,Medium,Normal,None,Fixed Camera,Deformation
Building,Column,229.19,37.46,83.47,Low,Normal,Severe,Ground,Crack
Building,Wall,474.63,1.12,70.12,High,High,Partial,Fixed Camera,Corrosion
Bridge,Beam,35.0,32.4,29.85,Low,Low,Partial,Ground,Healthy
Bridge,Wall,344.27,9.55,34.28,Medium,High,Severe,Fixed Camera,Healthy
Tunnel,Surface,17.36,12.0,31.54,Low,High,Partial,Ground,Crack
Building,Wall,89.86,31.96,2.98,Low,Normal,Severe,Fixed Camera,Crack
Bridge,Wall,229.52,49.65,58.67,Low,Normal,Severe,UAV,Healthy
Road,Wall,230.16,39.0,70.18,Medium,High,None,Fixed Camera,Corrosion
Road,Surface,344.42,11.68,85.53,Medium,Low,Partial,UAV,Spalling
Bridge,Wall,455.56,9.21,14.88,Low,Low,None,UAV,Crack
Bridge,Column,321.32,43.38,54.87,Low,High,Partial,Ground,Healthy
Building,Surface,477.0,22.49,1.79,Low,High,Severe,UAV,Crack
Building,Wall,441.4,7.28,10.41,Medium,Low,Partial,UAV,Crack
Tunnel,Surface,294.33,43.18,6.37,Medium,Low,Severe,Ground,Crack
Building,Deck,417.73,40.9,72.82,Low,Low,Partial,Fixed Camera,Healthy
Road,Column,323.08,49.2,9.02,Low,High,None,Fixed Camera,Deformation
Road,Wall,43.89,45.53,71.93,High,Normal,None,UAV,Deformation
Bridge,Deck,371.58,42.66,25.71,Low,Low,Severe,Fixed Camera,Corrosion
Building,Deck,51.98,3.1,87.89,Low,Low,None,UAV,Healthy
Tunnel,Surface,299.07,5.67,81.5,Low,Low,Severe,Fixed Camera,Deformation
Road,Deck,352.81,28.66,95.83,Medium,High,Severe,Fixed Camera,Deformation
Road,Column,37.93,26.81,88.49,Medium,Normal,Severe,Fixed Camera,Healthy
Tunnel,Column,119.24,23.17,93.4,Medium,Normal,Partial,UAV,Corrosion
Tunnel,Beam,458.26,20.14,86.02,Low,Low,Severe,Ground,Spalling
Road,Column,310.08,21.84,69.64,Medium,High,None,Fixed Camera,Healthy
Road,Deck,126.91,28.68,17.86,Low,Normal,Partial,Fixed Camera,Deformation
Tunnel,Column,346.89,0.6,27.9,High,High,None,Fixed Camera,Spalling
Road,Surface,300.4,13.41,22.06,Medium,Normal,Severe,UAV,Crack
Bridge,Beam,253.28,26.15,60.75,Medium,Low,Severe,Ground,Spalling
Bridge,Deck,488.21,36.25,50.86,Low,High,None,UAV,Spalling
Tunnel,Beam,343.31,9.12,86.84,Low,Low,Partial,Fixed Camera,Crack
Building,Deck,190.84,27.57,95.31,Medium,Normal,None,UAV,Healthy
Tunnel,Surface,401.04,35.87,41.08,Medium,Normal,Severe,Fixed Camera,Corrosion
Tunnel,Beam,442.87,22.51,51.13,Low,Low,Partial,Fixed Camera,Corrosion
Building,Wall,66.98,1.84,97.18,High,Normal,Severe,UAV,Spalling
Building,Deck,104.27,22.74,28.35,High,Low,Severe,Fixed Camera,Corrosion
Building,Wall,112.03,15.17,79.45,Medium,Low,None,Fixed Camera,Crack
Bridge,Beam,347.15,46.52,23.3,High,Low,Severe,Ground,Corrosion
Road,Wall,303.5,6.67,68.46,Low,Normal,None,UAV,Crack
Bridge,Wall,311.4,32.8,26.11,Low,High,Partial,UAV,Crack
Road,Beam,470.68,3.11,88.49,Low,Low,Severe,Fixed Camera,Crack
Bridge,Surface,389.08,22.59,56.59,Medium,High,Severe,Fixed Camera,Crack
Road,Wall,68.33,27.92,19.41,Low,Normal,Partial,UAV,Corrosion
Bridge,Wall,177.02,15.25,23.21,High,Normal,None,UAV,Spalling
Building,Surface,220.52,23.03,49.89,Low,High,Severe,UAV,Healthy
Tunnel,Wall,201.0,8.6,96.2,Low,Low,Partial,Fixed Camera,Spalling
Bridge,Wall,336.31,15.55,77.19,High,Normal,Severe,Ground,Deformation
Road,Wall,446.49,31.24,49.34,Low,Low,None,Ground,Corrosion
Building,Column,156.5,15.44,34.43,Low,Low,None,Fixed Camera,Deformation
Bridge,Surface,278.18,45.04,55.38,Medium,High,None,Fixed Camera,Spalling
Bridge,Wall,395.76,31.61,75.09,Low,Normal,None,Fixed Camera,Corrosion
Building,Surface,211.03,22.21,78.61,Low,High,Partial,UAV,Crack
Bridge,Deck,88.22,2.42,33.14,Low,Normal,Severe,Fixed Camera,Corrosion
Tunnel,Deck,240.1,25.23,72.39,Medium,High,Partial,UAV,Spalling
Bridge,Wall,32.34,38.36,66.12,High,Normal,None,Ground,Corrosion
Tunnel,Surface,471.48,13.65,95.95,High,Normal,None,Fixed Camera,Healthy
Tunnel,Surface,42.04,40.44,93.18,Low,Normal,None,Fixed Camera,Crack
Building,Surface,222.04,12.96,79.15,Low,Low,None,UAV,Crack
Bridge,Column,267.29,41.28,72.62,Medium,Low,Severe,UAV,Spalling
Building,Deck,492.73,4.72,28.13,High,High,None,UAV,Healthy
Bridge,Surface,87.18,43.38,84.75,Low,High,Severe,Ground,Corrosion
Bridge,Surface,61.64,25.21,43.32,Low,Normal,None,Ground,Spalling
Road,Column,9.31,15.18,27.95,Medium,Normal,Severe,Fixed Camera,Crack
Bridge,Column,82.01,13.62,39.03,High,Low,Severe,Fixed Camera,Spalling
Building,Surface,107.6,21.88,83.76,Low,Low,None,UAV,Deformation
Tunnel,Beam,317.14,49.95,15.71,Low,Low,Partial,Ground,Healthy
Bridge,Surface,113.75,11.41,46.16,Low,High,Partial,Fixed Camera,Crack
Road,Surface,15.16,5.61,49.74,Low,Low,Partial,UAV,Corrosion
Building,Column,414.18,29.46,4.63,Medium,High,Partial,UAV,Spalling
Bridge,Column,185.97,24.68,20.38,Medium,Low,Partial,Ground,Crack
Building,Surface,180.08,26.45,82.85,Medium,Low,None,Ground,Deformation
Road,Surface,154.73,33.51,83.25,Low,Normal,None,Fixed Camera,Spalling
Road,Surface,487.81,13.72,29.95,Low,High,None,Fixed Camera,Corrosion
Building,Column,89.21,45.58,87.61,Low,Low,None,UAV,Deformation
Bridge,Surface,449.63,22.07,77.41,Low,Normal,None,UAV,Corrosion
Tunnel,Surface,389.52,6.89,42.37,High,High,None,UAV,Healthy
Road,Wall,42.86,37.24,75.09,Low,High,Severe,Fixed Camera,Deformation
Bridge,Beam,493.43,32.33,96.17,Low,Low,Severe,Ground,Deformation
Bridge,Deck,139.33,16.13,46.44,Low,High,None,Fixed Camera,Crack
Tunnel,Beam,53.8,31.27,24.6,Medium,Normal,None,Ground,Healthy
Road,Wall,415.51,11.38,94.24,Medium,Normal,Severe,Fixed Camera,Deformation
Road,Deck,354.8,22.52,60.77,High,High,Severe,Fixed Camera,Crack
Bridge,Surface,310.52,45.02,11.42,Low,Normal,None,Ground,Corrosion
Bridge,Wall,82.21,7.11,57.7,Medium,High,Severe,Fixed Camera,Crack
Tunnel,Surface,241.86,19.64,50.56,Low,Normal,Partial,Fixed Camera,Healthy
Tunnel,Column,391.38,41.15,85.7,Low,High,Partial,UAV,Healthy
Road,Wall,155.29,48.49,53.54,High,High,Partial,Ground,Healthy
Building,Column,159.29,22.97,26.27,Low,High,Severe,Ground,Deformation
Road,Wall,6.55,25.6,67.89,Medium,Normal,None,UAV,Corrosion
Bridge,Wall,91.25,28.82,54.71,Low,High,None,Ground,Crack
Road,Column,438.33,46.65,24.07,Medium,High,None,UAV,Crack
Building,Deck,223.66,42.98,57.79,High,Low,Severe,Ground,Crack
Tunnel,Beam,492.2,8.94,82.33,High,Low,Severe,Ground,Spalling
Building,Surface,200.88,22.12,3.83,High,High,Partial,Ground,Healthy
Building,Wall,359.02,23.47,63.45,Medium,Low,Severe,Ground,Healthy
Building,Surface,144.55,39.56,35.61,Low,High,Partial,UAV,Corrosion
Tunnel,Column,185.09,30.34,29.97,Medium,Low,Partial,UAV,Deformation
Building,Surface,99.41,32.88,39.87,Medium,Normal,None,Ground,Spalling
Building,Column,176.8,49.91,34.86,Low,Normal,Severe,Fixed Camera,Corrosion
Building,Surface,275.88,4.21,83.39,Medium,High,None,UAV,Spalling
Bridge,Beam,495.93,11.54,28.2,High,High,None,Ground,Corrosion
Building,Beam,333.78,20.69,73.58,Medium,Normal,Severe,UAV,Healthy
Tunnel,Beam,103.63,17.72,10.31,Low,Normal,Severe,Fixed Camera,Deformation
Building,Beam,27.26,1.57,95.19,High,Low,Partial,Fixed Camera,Deformation
Building,Beam,67.55,5.04,62.61,Low,High,Partial,Fixed Camera,Crack
Tunnel,Beam,283.46,34.21,70.97,Low,Normal,Partial,Ground,Crack
Building,Column,383.75,44.03,30.51,Medium,Normal,Partial,Ground,Corrosion
Tunnel,Wall,470.51,25.95,41.8,Low,High,None,Fixed Camera,Deformation
Building,Surface,12.83,27.19,23.15,Medium,Low,None,UAV,Healthy
Tunnel,Beam,263.77,13.13,93.32,Low,Low,Severe,UAV,Corrosion
Building,Column,238.08,38.51,49.32,Low,Low,Partial,Fixed Camera,Deformation
Building,Column,329.75,37.71,63.41,Low,Low,Partial,Ground,Corrosion
Bridge,Column,281.99,29.62,73.69,High,Normal,Partial,UAV,Corrosion
Bridge,Wall,345.08,11.03,37.74,Medium,High,None,UAV,Deformation
Building,Surface,330.75,5.3,72.29,Low,High,Severe,UAV,Deformation
Building,Wall,62.92,3.68,67.92,Low,Normal,None,Ground,Crack
Road,Deck,400.86,29.84,70.86,Low,Normal,Severe,Fixed Camera,Corrosion
Tunnel,Column,66.0,41.34,49.43,Medium,Normal,Severe,Ground,Corrosion
Road,Deck,350.77,42.99,38.91,Low,High,None,UAV,Crack
Bridge,Beam,210.99,23.45,22.99,Medium,High,None,Fixed Camera,Healthy
Bridge,Beam,259.36,39.32,82.64,Medium,High,Severe,Ground,Spalling
Bridge,Wall,452.13,47.37,61.23,High,Low,None,Fixed Camera,Crack
Bridge,Surface,445.49,14.12,44.99,Medium,Normal,None,UAV,Crack
Building,Deck,409.84,20.2,94.46,Medium,Normal,Severe,Ground,Healthy
Bridge,Surface,257.52,46.61,5.74,Low,Normal,Severe,Fixed Camera,Deformation
Building,Wall,369.44,17.24,85.17,Medium,High,Partial,Ground,Deformation
Building,Beam,258.88,45.74,99.76,Medium,Normal,None,UAV,Crack
Bridge,Surface,435.46,49.06,88.81,Low,Normal,Severe,Fixed Camera,Healthy
Bridge,Surface,204.37,33.26,81.23,High,Low,None,UAV,Corrosion
Tunnel,Beam,485.27,40.94,38.06,Low,High,None,Fixed Camera,Spalling
Road,Deck,466.5,37.6,23.9,Low,Normal,Severe,UAV,Healthy
Bridge,Beam,372.09,35.13,73.75,Low,High,Partial,UAV,Crack
Tunnel,Surface,143.31,15.69,31.15,High,High,Severe,Ground,Corrosion
Tunnel,Deck,70.17,3.33,18.43,Medium,High,Severe,UAV,Crack
Road,Deck,428.08,17.48,78.87,High,Low,None,Ground,Corrosion
Building,Beam,86.82,33.51,31.94,Low,High,Partial,UAV,Crack
Bridge,Surface,427.86,5.58,91.53,Medium,High,Severe,UAV,Healthy
Road,Wall,247.93,1.09,84.22,Low,High,None,UAV,Corrosion
Bridge,Surface,206.25,7.41,84.92,High,Normal,Severe,Fixed Camera,Spalling
Tunnel,Column,452.08,35.93,77.39,Low,Low,None,Ground,Healthy
Tunnel,Wall,303.91,48.65,88.21,Low,Normal,Severe,Fixed Camera,Healthy
Building,Deck,290.42,49.16,80.77,Low,Low,Partial,Ground,Spalling
Tunnel,Wall,281.59,24.95,60.65,High,Low,Severe,UAV,Corrosion
Tunnel,Deck,188.73,43.53,30.29,Medium,High,None,Fixed Camera,Crack
Road,Deck,393.89,36.97,88.93,Medium,High,Severe,Ground,Crack
Bridge,Wall,130.14,25.3,84.22,Medium,Normal,Partial,UAV,Spalling
Bridge,Deck,469.75,28.85,47.82,High,Low,Partial,Ground,Crack
Road,Deck,447.52,7.29,4.87,High,High,Partial,Ground,Corrosion
Building,Column,172.05,46.91,64.22,Medium,High,Partial,UAV,Crack
Bridge,Surface,366.08,17.92,6.01,Low,High,None,Fixed Camera,Spalling
Tunnel,Surface,288.75,22.58,92.7,Low,High,Severe,UAV,Corrosion
Bridge,Column,172.14,33.75,96.2,High,Normal,Partial,Fixed Camera,Crack
Tunnel,Wall,494.32,17.03,19.76,Medium,Normal,Severe,Ground,Corrosion
Building,Beam,17.49,13.09,67.96,Low,High,None,Ground,Spalling
Road,Beam,130.06,31.74,10.13,Medium,High,Severe,Ground,Spalling
Bridge,Beam,262.44,1.74,73.22,High,High,Severe,Fixed Camera,Corrosion
Road,Column,263.37,36.18,35.38,Low,High,Partial,UAV,Deformation
Bridge,Column,296.52,25.94,68.42,Medium,High,Partial,Fixed Camera,Crack
Tunnel,Deck,377.08,30.48,37.91,High,Low,None,Ground,Crack
Road,Beam,313.62,31.78,15.41,Medium,Low,Severe,Ground,Crack
Bridge,Wall,302.14,26.59,41.2,Low,Low,None,UAV,Spalling
Tunnel,Wall,31.49,29.34,12.15,High,Low,None,Fixed Camera,Deformation
Road,Beam,191.38,34.35,58.11,High,High,None,Ground,Crack
